Name,Description,Logo
Jobop,"
									Jobop est une startup qui vise à améliorer l'employabilité de millions de travailleurs temporaires. Cette plateforme connecte les travailleurs temporaires avec des entreprises de premier plan, avec ...	
								",https://www.start-up.ma/wp-content/uploads/2024/01/Jobop.co-l-Start-up.ma_-150x150.png
DEALKHIR,"
									Dealkhir est une plateforme innovante qui révolutionne le concept du commerce en ligne au Maroc. En proposant des offres diversifiées de produits et de services à des prix attractifs, Dealkhir va plus loin en transformant chaque achat en un geste…	
								",https://www.start-up.ma/wp-content/uploads/2023/11/dealkhir-150x150.png
Alt Biotech,"
									Alt Biotech se positionne en tant que pionnière dans l'autonomisation des innovations de culture cellulaire, en mettant à disposition des facteurs de croissance et des cytokines à l'aide de notre nouveau système de bioproduction propriétaire. Notre engagement se manifeste par…	
								",https://www.start-up.ma/wp-content/uploads/2024/03/Alt-Biotech-1-150x150.png
Vigon Systems,"
									VIGON SYSTEMS conseille et accompagne ses clients dans le choix et la mise en place d’une architecture informatique &amp; réseau adaptée à leurs besoins.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Vigon-Systems-l-Start-Up-150x150.png
Userguest,"
									Userguest est une startup marocaine opérant depuis Amsterdam, se spécialisant dans l'offre d'une assistance marketing intelligente aux hôtels. Son objectif est d'aider ces établissements à attirer davantage...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Userguest-150x150.png
Tringalo,"
									Tringalo histoire ""Après avoir vécu dans différents pays et rencontré des gens de partout dans le monde nous avons toujours trouvé les mêmes histoires de personnes qui demandent...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/tringalo-150x150.png
WeBerber,"
									WEBERBER est une entreprise qui promeut la culture amazighe à travers ses artefacts. Leurs produits sont fabriqués à la main par des femmes berbères.De plus, ils sont respectueux de l'environnement...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/weberber_logo-1-150x150.png
Unimetric,"
									Unimetric occupe actuellement une position majeure dans le domaine de la décoration et de la rénovation au Maroc. Implantée à Rabat-Salé, elle met en avant son expertise variée dans ...	
								",https://www.start-up.ma/wp-content/uploads/2023/12/Unimetric-150x150.png
EXPERIO,"
									EXPERIO, une start-up spécialisée dans le développement et l'intégration de solutions d'intelligence artificielle destinées aux systèmes d'information des cabinets de comptabilité, s'engage résolument à rendre l'automatisation comptable accessible à tous;	
								",https://www.start-up.ma/wp-content/uploads/2024/03/EXPERIO-1-150x150.png
Babyandmom.ma,"
									🛒 Tout ce qu’il faut pour bébé et maman, en un clic ! Chez Babyandmom.ma, nous savons à quel point les premiers moments avec bébé sont précieux. C’est pourquoi nous avons rassemblé une gamme exceptionnelle de produits : couches, poussettes,…	
								",https://www.start-up.ma/wp-content/uploads/2024/05/logo-bam-150x150.png
Colisade Delivery,"
									Colisade est avant tout une équipe dédiée à la satisfaction de ses clients, cette Start Up combine plusieurs compétences qui lui permettent de se positionner ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Colisade-Delivery-l-Start-Up-150x150.png
SOWIT,"
									SOWIT construit des outils d’aide à la décision pour accompagner les agriculteurs africains face aux défis de l’intensification durable. SOWIT entend participer à l’émergence	
								",https://www.start-up.ma/wp-content/uploads/2023/11/SOWIT-l-Start-Up-150x150.png
Valcode,"
									Valcode est une start-up qui est spécialisée dans les nouvelles technologies de l’information, notamment la géolocalisation et la gestion de flotte.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Valcode-150x150.png
Exwayz,"
									Exwayz, une start-up technologique parisienne, domine le secteur du traitement en temps réel de la technologie 3D LiDAR. Nous nous engageons à fournir des outils de pointe aux entreprises innovantes pour créer des applications exceptionnelles. Notre équipe d'experts développe…	
								",https://www.start-up.ma/wp-content/uploads/2024/03/Exwayz-1-150x150.png
Nickel,"
									Nickel est une Fintech Marocaine, leader du marché des avantages employés dématérialisés (titres-restaurants, notes de frais, dotation de transport, primes sociales ...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/nickel-150x150.png
CHRONODIALI,"
									CHRONODIALI est un transporteur et fournisseur de solutions logistiques dédié aux acteurs du commerce électronique au Maroc. Son offre s'étend de la collecte des colis ...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/CHRONODIALI-l-Start-Up-150x150.png
Virtual Building Solution,"
									VBS «Virtual Building Solution»est un éditeur et intégrateur de suite logiciel, de gestion du cycle de vie d’un bâtiment, dans ses différentes phases : la planification, la construction, l’exploitation et la maintenance...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Virtual-Building-Solution-l-Start-Up-150x150.png
Rocmed,"
									Rocmed, une jeune start-up, s'engage à innover en permanence pour améliorer l'accès à la santé via sa plateforme. Elle facilite la vente de produits de santé en fournissant aux ...	
								",https://www.start-up.ma/wp-content/uploads/2023/12/Capture-decran-2023-12-11-a-15.53.27-150x150.png
MintHR,"
									MintHR est une plateforme de gestion des ressources humaines (GRH) basée sur le cloud, conçue pour simplifier et automatiser les processus RH pour les entreprises de toutes tailles.	
								",https://www.start-up.ma/wp-content/uploads/2024/07/WEBINAIRE-15-150x150.png
Delfisoft,"
									DELFISOFT est une startup spécialisée dans le développement de logiciels avec l’édition de logiciels de gestion Avec son équipe d’ingénieurs et de professionnels, DELFISOFT ...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Delfisoft-l-Start-Up-150x150.png
Maana Travel,"
									Maana Travel est spécialisée dans la conception de voyages haut de gamme. Elle est formée d’une équipe d’experts de voyages passionnés qui se basent sur leur grande ...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/MAANA-Travel-l-Start-up-150x150.png
KargoLive,"
									KargoLive est une start-up novatrice, opérée en tant que transitaire numérique et plateforme logistique. Une solution digitale tout-en-un est proposée aux entreprises, leur offrant un contrôle accru sur leur chaîne d'approvisionnement pour favoriser leur croissance;	
								",https://www.start-up.ma/wp-content/uploads/2024/03/KargoLive-1-150x150.png
Juridia,"
									Juridia est une Intelligence Artificielle entraînée exclusivement sur le corpus juridique du Royaume du Maroc. Elle permet aux utilisateurs de poser des questions et obtenir des réponses précises et sourcées, extraites exclusivement de la réglementation marocaine.	
								",https://www.start-up.ma/wp-content/uploads/2024/06/Design-sans-titre-60-150x150.png
Digital Technology Lab,"
									Digital Technology Lab est une startup qui fournit une solution (Ecomub) qui permet d’automatiser l’ensemble du process de livraison et à donner le contrôle au vendeur de gérer ses propres livreurs...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/1630632904972-150x150.png
RemotePass,"
									RemotePass est une startup spécialisée dans la gestion des employés distants et la simplification des processus de travail à distance. Elle propose une plateforme tout-en-un qui permet aux entreprises de gérer les contrats, les paiements, les avantages sociaux et la…	
								",https://www.start-up.ma/wp-content/uploads/2024/07/WEBINAIRE-17-150x150.png
Smile Snail,"
									Smile Snail, une start-up, se spécialise dans la production et la récupération de dérivés d'escargot, l'élevage d'escargots, la bave d'escargot, le collagène, et les plantes ...	
								",https://www.start-up.ma/wp-content/uploads/2023/12/Smile-Snail-150x150.png
Douar Tech,"
									Douar Tech est une organisation spécialisée dans l’éducation par le canal de la technologie. Elle a pour vocation de soutenir les jeunes en situation difficile (notamment les femmes) issus de milieux précaires du monde ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Douar-Tech-150x150.png
Maghreb Hydroponique,"
									Maghreb Hydroponique est le pionnier de la technologie de l'agriculture hydroponique et le principal distributeur d'une plante souterraine de qualité supérieure ...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Maghreb-Hydroponique-150x150.png
Damanesign,"
									Damanesign propose des prestations de services de confiance : signature électronique, d’horodatage électronique, de cachet électronique et d’archivage électronique, ainsi ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/damanesign-l-Start-Up-Maroc-150x150.png
GetPopCard,"
									GetPopCard, start-up qui développe et commercialise des outils dédiés au networking et à la collecte de leads, vise à fournir des solutions innovantes répondant aux besoins spécifiques des clients pour faciliter leur croissance dans un monde connecté;	
								",https://www.start-up.ma/wp-content/uploads/2024/03/GetPopcard-l-Start-up.ma-1-150x150.png
Elbotola,"
									Elbotola est le premier portail sportif électronique au Maroc qui compte plus de 15 millions de visiteurs uniques par mois Cette plateforme performante, qui mise sur des articles, des vidéos ...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Elbotola-l-Start-Up-150x150.png
Hydrobarley,"
									Hydroparley est une institution sociale innovante spécialisée dans la production d’aliments pour bétail, apportant des solutions concrètes aux défis environnementaux dans le secteur agricole ...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Hydrobarley-150x150.png
Dr Stone.ma,"
									Drone Stone est une start-up qui est spécialisée dans l’équipement, en termes de drones. Elle met à la disposition des entreprises dans les activités nécessitent un drone...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Dr-Stone.ma-l-Start-Up-150x150.png
SAHARA ADRENALINE PARK,"
									Sahara Adrénaline Park est un espace de loisir créé dans le cadre du programme national du développement durable et la promotion des activités touristique au sein des provinces du sud, ouvert pour toutes les tranches d’âge.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/SAHARA-ADRENALINE-PARK-l-Start-Up-150x150.png
Tookeez,"
									Tookeez, une start-up spécialisée dans la fidélisation, réinvente la relation client en offrant une expérience utilisateur avantageuse. Notre plateforme unique permet aux consommateurs de convertir les récompenses de divers partenaires en avantages tangibles…	
								",https://www.start-up.ma/wp-content/uploads/2024/03/Tookeez-l-Start-up.ma_-150x150.png
BioChar Maroc,"
									BioChar Maroc spécialisée dans la fabrication du matériel de transformation des déchets agricoles en charbon bio. Biochar Maroc est une jeune entreprise environnementale	
								",https://www.start-up.ma/wp-content/uploads/2023/11/BioChar-Maroc-150x150.png
Paramedic,"
									Paramedic propose des solutions innovantes destinées aux établissements de santé, aux sociétés d’ambulance et aux taxis conventionnés pour optimiser les transports sanitaires. Notre engagement est de fournir des outils technologiques de pointe, améliorant l'efficacité et la coordination des services de…	
								",https://www.start-up.ma/wp-content/uploads/2024/03/Paramedic-l-Start-up.ma_-150x150.png
SYPEX,"
									SYPEX est une fintech spécialisée en conseil, édition, intégration et support de progiciels financiers destinés aux activités des marchés des capitaux ....	
								",https://www.start-up.ma/wp-content/uploads/2023/11/sypex-150x150.png
IMMOPEDIA ADVISORY &amp; BROKERAGE,"
									IMMOPEDIA ADVISORY &amp; BROKERAGE est un cabinet de conseils, études sectorielles et commercialisation de projets immobiliers neufs exclusivement ...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/IMMOPEDIA-ADVISORY-BROKERAGE-l-Start-Up-150x150.png
SID environnement,"
									SID ENVIRONNEMENT est une entreprise EPC (engineering, procurement construction) spécialisée dans les solutions industrielles durables respectueuses de l’environnement et de la santé et sécurité des collaborateurs. 	
								",https://www.start-up.ma/wp-content/uploads/2023/11/SID-environnement-l-Start-Up-150x150.png
DYNA INFO,"
									DYNA INFO, fondée en l'an 2000 par un groupe d'ingénieurs et comptant actuellement une quarantaine d'employés, s'engage résolument à améliorer constamment sa...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/dyna-Info-150x150.png
ATAREC,"
									ATAREC est une startup qui exerce dans le domaine de la Green technologie, qui se spécialise dans les énergies renouvelables. Elle a pour vocation de générer des solutions innovantes afin d’assurer une autonomie en énergie verte.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/ATAREC-150x150.png
Brostech,"
									Brostech est une plateforme e-commerce adaptée au marché de l'electronique usagés ou remis à neuf. HOOTA.ma est la première place de marché en ligne dédiée exclusivement...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Hoota-1-150x150.png
Disklosure,"
									Fondée en 2013, Disklosure se distingue en tant qu'éditeur de solutions logicielles clés axées sur la durabilité. La start-up offre un soutien complet à ses clients, allant de ...	
								",https://www.start-up.ma/wp-content/uploads/2024/01/Disklosure-l-Start-up.ma_-150x150.png
GRO’INO,"
									GRO'INO, plateforme B2B de commerce électronique, se consacre à servir les commerçants du secteur du bâtiment et du matériel en proposant un ""guichet unique"" répondant à tous leurs besoins, y compris des services financiers innovants adaptés à leurs exigences;	
								",https://www.start-up.ma/wp-content/uploads/2024/03/GROINO-l-Start-up.ma_-150x150.png
DataPathology,"
									La mission principale chez DataPathology est de lutter contre le cancer en Afrique, ceci en délivrant un diagnostic rapide et efficace permettant ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Datapathology-150x150.png
Bluedove,"
									Bluedove, une start-up innovante, offre activement des solutions avancées de marketing numérique pour renforcer la présence en ligne des entreprises. Bluedove s'engage activement à fournir des outils puissants et efficaces, visant activement à optimiser la visibilité, stimuler activement…	
								",https://www.start-up.ma/wp-content/uploads/2024/03/Bluedove-l-Start-up.ma_-150x150.png
INDATACORE,"
									La start-up Indatacore exerce dans le domaine de l’Intelligence Artificielle. Son but est de proposer des solutions digitales qui répondent aux besoin de leurs clients.	
								",https://www.start-up.ma/wp-content/uploads/2023/10/Indatacore-150x150.png
Doosys,"
									Doosys est une start-up dont les activités consistent en l’intégration, la mise en place et le développement de solutions digitales pour tous En effet, en faisant la promotion de valeurs ...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Doosys-l-Start-Up-150x150.png
Enthalpy,"
									Enthalpy est une start-up de premier plan spécialisée dans la fourniture de solutions complètes en matière d'IoT et de blockchain pour surveiller le mouvement de vos produits et...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Enthalpy-150x150.png
Corail,"
									Corail est une marque financière conçue pour les Millennials et GenZ afin de soulager la douleur des paiements P2P. Nous proposons un meilleur moyen d’envoyer...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/corail-150x150.png
Estaly,"
									Estaly est une entreprise technologique qui permet aux entreprises comme les détaillants, les marques et les entreprises de technologie financière d’offrir des produits d’assurance dans le cadre de leurs flux d’achat.	
								",https://www.start-up.ma/wp-content/uploads/2024/01/Estaly-1-150x150.png
HOOTA.ma,"
									HOOTA.ma est la première place de marché en ligne dédiée exclusivement aux appareils électroniques reconditionnés &amp; deuxième main. Nous mettant en relation des professionnels certifiés hautement sélectionnés et des...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/HOOTA.ma-l-Start-Up-150x150.png
Gwala,"
									GWALA est une fintech marocaine innovante fondée en 2022 par Mossaab Abaouz, un ancien étudiant en informatique à Stanford. La mission principale de GWALA est de fournir un accès en temps réel aux salaires gagnés par les employés, leur permettant…	
								",https://www.start-up.ma/wp-content/uploads/2024/07/Design-sans-titre-89-150x150.png
Tinkiet,"
									Tinkiet,  start-up révolutionne la gestion des stocks médicaux, simplifiant la vie du personnel soignant grâce à leurs SmartBacs. Différentes des autres options du marché, ces SmartBacs automatisent l'inventaire et déclenchent des commandes sans intervention du personnel infirmier;	
								",https://www.start-up.ma/wp-content/uploads/2024/03/Tinkiet-l-Start-up.ma_-150x150.png
NETIMAR,"
									NETIMAR est une startup composée par une équipe d’ingénieurs logiciels, d’informaticiens et de penseurs créatifs, unis par un même but : la réussite de leurs clients.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/NETIMAR-l-Start-Up-150x150.png
MiQvr,"
									MiQvr qui est une startup de développement de logiciels axée sur l’innovation dans l’industrie de la réalité virtuelle. Leur objectif est de fournir des technologies de pointe...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/miqvr-150x150.png
Bewize,"
									Bewize se distingue en tant que startup EdTech de premier plan, se spécialisant dans l'apprentissage numérique ludique et interactif destiné aux enfants du primaire. Son champ d'action s'étend principalement aux domaines des mathématiques...	
								",https://www.start-up.ma/wp-content/uploads/2024/05/Bewize-l-Start-up.ma_-150x150.png
Capital Quant Agency,"
									CapCapital Quant Agency, une startup créée en 2019, offre aux institutions financières, aux salles de marchés, aux gestionnaires d'actifs et aux investisseurs institutionnels un logiciel SaaS ...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Capital-Quant-Agency-l-Start-Up-150x150.png
MedicalExpo Africa,"
									Market place B2B regroupe au sein d’une seule et unique plateforme des fournisseurs, fabricants et grossistes de tout l’univers médical afin de satisfaire les professionnels ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Expomédical-150x150.png
Colis.ma,"
									Colis.ma, fondée en mars 2022 par le jeune entrepreneur Issam Darui, a pour ambition de devenir le lien essentiel entre le Maroc et l'Europe ...	
								",https://www.start-up.ma/wp-content/uploads/2023/12/colis.ma_-150x150.png
Pip Pip Yalah – Covoiturage Maroc,"
									La première application marocaine qui encourage au covoiturage. Pour répondre aux demandes de la communauté, une jeune start-up marocaine vient d’annoncer le lancement ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Pip-Pip-Yalah-–-Covoiturage-Maroc-l-Start-Up-150x150.png
Gokaden,"
									Gokaden, la start-up novatrice, construit un écosystème créatif dynamique basé sur cinq piliers essentiels. La CRÉATIVITÉ ouvre un espace diversifié, accueillant avec enthousiasme les créateurs présentant une variété de projets, des œuvres numériques traditionnelles aux actifs GenAI…	
								",https://www.start-up.ma/wp-content/uploads/2024/03/Gokaden-l-Start-up.ma-1-150x150.png
Epicerie Verte,"
									Epicerie Verte est une place de marché en ligne spécialisée dans les produits bio et naturels, permettant à ses clients un accès direct aux vendeurs référencés sur la plateforme.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/EpicerieVerte-150x150.png
KubicBits,"
									KubicBits se distingue en tant qu'équipe dévouée de designers et de développeurs, engagés à concevoir des solutions exceptionnelles pour leurs clients. Animés par un enthousiasme palpable et une passion pour leur travail, ils repoussent constamment les limites de la créativité…	
								",https://www.start-up.ma/wp-content/uploads/2023/11/KubicBits-l-Start-Up-150x150.png
Skills &amp; Smart,"
									Avec son expertise dans le secteur de l'assurance, Skills &amp; Smart allie l'innovation et la technologie pour introduire de nouveaux modèles économiques, ...	
								",https://www.start-up.ma/wp-content/uploads/2023/12/Skills-Smart-150x150.png
Theodo Morocco,"
									Theodo Morocco (Formerly ""NimbleWays"")  est une start-up dont les activités s’articulent autour de la conception et la mise en oeuvre de solutions à caractères numériques. 	
								",https://www.start-up.ma/wp-content/uploads/2023/11/WEBINAIRE-21-150x150.png
VISIOPROCESS,"
									VISIOPROCESS propose Smartglobe, une solution de datavisualisation en temps réel destinée à optimiser la consommation énergétique des bâtiments et des installations industrielles. En repensant la gestion énergétique, Smartglobe permet de...	
								",https://www.start-up.ma/wp-content/uploads/2024/05/téléchargement-1-150x150.png
DIGILEO,"
									Digileo est une startup marocaine innovante qui offre des solutions de signature électronique. Leur plateforme, Digileo eSign, permet de créer, envoyer, signer et stocker des documents en ligne de manière sécurisée et conforme aux régulations locales et européennes, garantissant ainsi…	
								",https://www.start-up.ma/wp-content/uploads/2024/06/Design-sans-titre-61-150x150.png
MathScan,"
									Mathscan est une startup Marocaine qui a développé une solution intelligente pour identifier et combler les lacunes en mathématiques chez les élèves ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/MathSCAN-l-Start-Up-150x150.png
CATHEDIS,"
									CATHEDIS s'adapte aux évolutions du marché du e-commerce au Maroc en tenant compte des tendances et des besoins des e-commerçants et des e-acheteurs, ainsi que ...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Cathedis-150x150.png
Fiamane App,"
									Fiamane, une start-up franco-marocaine fondée en 2021, opère dans le domaine du TransporTech, se spécialisant particulièrement dans le transport international de ...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Fiamane-l-Start-Up-150x150.png
Entroview,"
									Entroview, start-up deeptech, se démarque avec son logiciel de diagnostic de batterie basé sur les variations d'entropie, offrant une analyse approfondie en temps réel. La technologie brevetée couvre l'ensemble du cycle de vie de la batterie…	
								",https://www.start-up.ma/wp-content/uploads/2024/03/entroview-1-150x150.png
Sirius Solutions,"
									Sirius Solutions est une entreprise qui s'engage à fournir un service intégral, professionnel et performant pour répondre efficacement aux besoins des entreprises en matière de Formation...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Sirius-Solutions-150x150.png
PayLiK,"
									PayLiK est une plateforme de bien-être financier conçue pour simplifier et rationaliser le processus de gestion des avances salariales. la plateforme offre aux employés la possibilité de demander et de recevoir leur salaire gagné instantanément.	
								",https://www.start-up.ma/wp-content/uploads/2024/01/paylik-150x150.png
Meriva,"
									Meriva se positionne en tant que pionnier dans le secteur du marketing digital médical, fusionnant une passion pour l'innovation en santé avec une expertise pointue en marketing numérique. Son objectif est de révolutionner la communication..	
								",https://www.start-up.ma/wp-content/uploads/2024/05/Meriva-150x150.png
Corosols,"
									Corosols est une startup marocaine qui révolutionne le secteur de la construction en Afrique grâce à des solutions robotiques de pointe. Leur mission est de relever les défis croissants du secteur de la construction en utilisant la technologie robotique pour…	
								",https://www.start-up.ma/wp-content/uploads/2024/06/Design-sans-titre-81-150x150.png
Klaimy,"
									Klaimy est une startup innovante spécialisée dans l’optimisation de la gestion des réclamations dans le secteur de l’assurance grâce à l’intelligence artificielle. Elle offre une plateforme AI as a Service (AIaaS) qui combine plusieurs technologies avancées pour automatiser et personnaliser…	
								",https://www.start-up.ma/wp-content/uploads/2024/07/Design-sans-titre-91-150x150.png
NowEdge,"
									À l'origine de NowEdge, trois défis majeurs impactent l'apprentissage et la formation. Les formations traditionnelles engendrent de nombreuses contraintes, présentent une faible capacité de mémorisation et représentent une charge financière significative pour les entreprises;	
								",https://www.start-up.ma/wp-content/uploads/2024/02/NowEdge-1-150x150.png
Qaal,"
									Qaal, pionnière dans le domaine de la comptabilité pour entrepreneurs, présente la première application associée à un compte. Consciente des challenges et insatisfactions liés à la gestion financière, Qaal propose une solution complète via une application mobile;	
								",https://www.start-up.ma/wp-content/uploads/2024/03/Qaal-1-150x150.png
VelyVelo,"
									Découvrez VelyVelo, votre partenaire privilégié pour une mobilité durable et pratique. Nous proposons une gamme complète de services de location de vélos à assistance électrique, tant pour les professionnels que...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/velyvelo-150x150.png
Gestancia,"
									Gestancia est une start-up offrant une plateforme entièrement numérique dédiée à la gestion quotidienne du travail. Avec une équipe passionnée composée de professionnels de la technologie ...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Gestancia-l-Start-Up-150x150.png
Aishore,"
									Aishore se positionne comme un leader dans la catalyse d'affaires, opérant à l'intersection du talent africain et de la technologie de pointe. Notre mission est de libérer le potentiel inégalé des professionnels africains et de le mettre au service de…	
								",https://www.start-up.ma/wp-content/uploads/2024/05/Aishore-150x150.png
VotreChauffeur.ma,"
									VotreChauffeur.ma est une startup qui met à la disposition de ses clients une application mobile et un site web qui leur permettent de réserver des voitures avec des chauffeurs	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Votre-Chauffeur.ma-l-Start-Up-150x150.png
Dabador,"
									Dabador est une  plateforme de voyage et de commerce en ligne au Maroc ! c'est une équipe de passionnés convaincus que le voyage doit être accessible, abordable et agréable pour tous.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/dabador-logo-150x150.png
INEO,"
									INEO donne une dimension nouvelle à la gestion d’entreprise. Grâce aux multiples solutions d’automatisation offertes...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/INEO-l-Start-Up-150x150.png
L’beldi,"
									L'beldi البلدي est une start-up fondée en 2018 par M. Youssef ERRADEY. Elle se spécialise dans la production et la vente d'épices ...	
								",https://www.start-up.ma/wp-content/uploads/2023/12/Lbeldi-البلدي-150x150.png
Evolvico,"
									Evolvico, la plateforme SaaS révolutionnaire conçue pour dynamiser votre processus de recrutement tout en renforçant votre marque employeur. Avec Evolvico, vous bénéficiez d'une interface intuitive et d'outils intelligents pour gérer vos candidatures en toute simplicité et attirer...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Evolvico-l-Start-up.ma_-150x150.png
Qous.io,"
									Qous.io se spécialise dans les services de paiement en ligne, offrant une solution pratique et rapide pour régler vos factures et recharger votre téléphone mobile sans avoir besoin de ...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Qous.io_-150x150.png
OCP Maintenance Solutions,"
									OCP Maintenance Solutions est une filiale de conseil en gestion d’actifs et de développement de logiciels du groupe OCP spécialisée dans les solutions avancées de fiabilité et de maintenance 4.0 pour les multiples industries de service.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/OCP-Maintenance-Solutions-l-Start-Up-150x150.png
INYAD,"
									Inyad révolutionne la manière dont les petits commerçants indépendants au Moyen-Orient et en Afrique du Nord mènent leurs activités. Une équipe de développeurs et de stratèges se consacre à la ...	
								",https://www.start-up.ma/wp-content/uploads/2024/01/inyad-l-Start-up.ma_-150x150.png
ISSROAD,"
									ISSROAD est une entreprise spécialisée dans la logistique et le transport, offrant des solutions intégrées pour répondre aux besoins diversifiés de ses clients. Grâce à une infrastructure robuste et une expertise approfondie, l'entreprise assure une gestion fluide et efficace des…	
								",https://www.start-up.ma/wp-content/uploads/2024/05/logo-plat-150x150.png
Quantolio,"
									Quantolio est une startup innovante qui se spécialise dans l’optimisation de la gestion de portefeuille grâce à l’intelligence artificielle (IA). Fondée par Amine El Kaouachi, Quantolio utilise des techniques avancées d’IA, notamment l’apprentissage profond et l’apprentissage par renforcement, pour développer…	
								",https://www.start-up.ma/wp-content/uploads/2024/07/Design-sans-titre-92-150x150.png
MaCroisière.ma,"
									MaCroisiere.ma est une startup ayant pour mission la facilitation de la réservation des billets et le paiement des croisières au Maroc. Macroisiere.ma Premier site en ligne ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/MaCroisiere.ma-l-Start-Up-150x150.png
Lemobilier.ma,"
									Lemobilier.ma est une boutique  EN LIGNE DE 33INVEST S.A.R.L l'entreprise agit dans plusieurs secteurs. Avec son site internet lemobilier.ma, 33INVEST S.A.R.L ambitionne...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/lemobilier.ma_-150x150.png
TOUNINA CONSULTING,"
									TOUNINA CONSULTING est un cabinet de conseil en Propriété Intellectuelle. TOUNINA CONSULTING met tout en œuvre pour satisfaire ses clients dans la réalisation de son métier de Conseil...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/TOUNINA-CONSULTING-150x150.png
Sarouty.ma,"
									sarouty.ma est un site web marocain dédié aux annonces immobilières. Il fait partie du groupe Property Finder, basé à Dubaï et leader des annonces immobilières sur toute la région	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Sarouty.ma-l-STrat-Up-150x150.png
Smartech RFID,"
									Smartech RFID est une société spécialisée dans l'étude et la réalisation des installations domotiques et courants faibles pour les particuliers et les entreprises...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Smartech-RFID-l-Start-Up-150x150.png
SnapIQ,"
									SnapIQ est une startup qui se spécialise dans les solutions de business intelligence (BI) et l’analyse de données grâce à l’intelligence artificielle (IA). La plateforme permet d’accéder rapidement et facilement aux analyses de données via des requêtes en langage naturel.…	
								",No Image
MyMarket.ma,"
									MyMarket.ma est un hypermarché en ligne qui propose plus de 1200 marques de produits et un service de livraison en 24h sur rendez-vous	
								",https://www.start-up.ma/wp-content/uploads/2023/11/MyMarket.ma--150x150.png
INTERCONNECT MARKET,"
									Interconnect Market est une start-up dans les activités consistent dans l’accompagnement des entreprises à travers une démarche de consulting...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Interconnect-150x150.png
AZA PETROSOLUTIONS,"
									AZA Petrosolutions est une startup innovante spécialisée dans la conception de solutions technologiques et la création d'objets intelligents et connectés (IoT) dédiés au secteur pétrolier. La mission d'AZA Petrosolutions est de révolutionner l'industrie pétrolière en intégrant des technologies de pointe…	
								",https://www.start-up.ma/wp-content/uploads/2024/05/Aza-Petrosolutions-Logo_JPG-150x150.png
Mynk,"
									 Mynk est une application mobile qui permet d'effectuer des paiements entre pairs gratuits, rapides et sécurisés, offrant la possibilité d'envoyer et de recevoir de l'argent simplement avec un numéro de téléphone...	
								",https://www.start-up.ma/wp-content/uploads/2024/01/Design-sans-titre-3-1-150x150.png
